! Author: Greg Thompson  NCAR/RAP,,,,,,,,,,,,,,
! Updated: NCEP/AWC,,,,,,,,,,,,,,
! Date:  2 MAR 2023,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
"! This file is organized by state alphabetically, then by Canadian",,,,,,,,,,,,,,
! province and then all other stations.  The file was compiled from lists,,,,,,,,,,,,,,
! of the following:,,,,,,,,,,,,,,
!      METAR sites,,,,,,,,,,,,,,
!      NEXRADs,,,,,,,,,,,,,,
!      rawinsonde sites,,,,,,,,,,,,,,
!      wind profilers,,,,,,,,,,,,,,
"!      WFOs, RFCs, NCEP-Centers",,,,,,,,,,,,,,
!      AIRMET/SIGMET station list (VORs?),,,,,,,,,,,,,,
!      ARTCCs (Air Route Traffic Control Centers - FAA),,,,,,,,,,,,,,
!      old SAO sites for archive data access  (flagged in a special manner),,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   Country abbreviations from ISO 3166,,,,,,,,,,,,,,
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt,,,,,,,,,,,,,,
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
!   CD = 2 letter state (province) abbreviation,,,,,,,,,,,,,,
!   STATION = 16 character station long name,,,,,,,,,,,,,,
!   ICAO = 4-character international id,,,,,,,,,,,,,,
!   IATA = 3-character (FAA) id,,,,,,,,,,,,,,
!   SYNOP = 5-digit international synoptic number,,,,,,,,,,,,,,
!   LAT = Latitude (degrees minutes),,,,,,,,,,,,,,
!   LON = Longitude (degree minutes),,,,,,,,,,,,,,
!   ELEV = Station elevation (meters),,,,,,,,,,,,,,
!   M = METAR reporting station.   Also Z=obsolete? site,,,,,,,,,,,,,,
!   N = NEXRAD (WSR-88D) Radar site,,,,,,,,,,,,,,
"!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)",,,,,,,,,,,,,,
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site,,,,,,,,,,,,,,
"!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)",,,,,,,,,,,,,,
!   C = Office type F=WFO/R=RFC/C=NCEP Center,,,,,,,,,,,,,,
!   Digit that follows is a priority for plotting (0=highest),,,,,,,,,,,,,,
!   Country code (2-char) is last column,,,,,,,,,,,,,,
!        1         2         3         4         5         6         7         8,,,,,,,,,,,,,,
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,country
IA,DUBUQUE,KDBQ,DBQ,72547,42 24N,090 42W,317,X,,U,,A,4,US
IA,ESTHERVILLE,KEST,EST,,43 24N,094 45W,401,X,,,,A,7,US
IA,FAIRFIELD,KFFL,FFL,,41 03N,091 58W,240,X,,,,W,8,US
IA,FOREST CITY,KFXY,FXY,,43 14N,093 37W,366,X,,,,,8,US
IA,FORT DODGE,KFOD,FOD,72549,42 32N,094 10W,347,X,,U,,W,6,US
IA,FORT MADISON,KFSW,FMS,,40 40N,091 19W,219,X,,,,W,8,US
IA,GRINNELL REG,KGGI,,,41 43N,092 44W,305,X,,,,W,8,US
IA,HAMPTON,KHPT,HPT,,42 43N,093 14W,354,X,,,,,8,US
IA,HARLAN MUNI,KHNR,,,41 35N,095 20W,364,X,,,,W,8,US
IA,INDEPENDENCE,KIIB,,,42 27N,091 57W,294,X,,,,W,8,US
IA,IOWA CITY,KIOW,IOW,,41 38N,091 33W,199,X,,V,,A,6,US
IA,IOWA FALLS MUNI,KIFA,IFA,,42 28N,093 16W,344,X,,,,W,7,US
IA,JOHNSTON/DESMOIN,KDMX,DMX,,41 44N,093 43W,299,,X,,,,F 8,US
IA,KEOKUK MUNI,KEOK,EOK,,40 28N,091 25W,206,X,,,,W,8,US
IA,KNOXVILLE,KOXV,,,41 17N,093 07W,280,X,,,,W,8,US
IA,LAMONI,K0Y7,,,40 38N,093 54W,345,Z,,,,,8,US
IA,LAMONI,K3OI,,,40 37N,093 57W,342,Z,,,,,8,US
IA,LAMONI,KLMN,,,40 36N,093 58W,348,,,V,,,8,US
IA,LAMONI,KLWD,,,40 38N,093 54W,345,X,,,,A,7,US
IA,LE MARS,KLRJ,LRJ,,42 46N,096 12W,363,X,,,,W,8,US
IA,MARSHALLTOWN,KMIW,MIW,,42 07N,092 55W,296,X,,,,A,7,US
IA,MASON CITY,KMCW,MCW,,43 09N,093 20W,363,X,,U,,A,6,US
IA,MAURICE,KSXK,,,42 59N,096 10W,430,X,,,,,8,US
IA,MONTICELLO MUNI,KMXO,MXO,,42 13N,091 10W,251,X,,,,W,8,US
IA,MT PLEASANT,KMPZ,MPZ,,40 57N,091 31W,222,X,,,,W,8,US
IA,MUSCATINE,KMUT,MUT,,41 22N,091 09W,166,X,,,,W,8,US
IA,NEWTON MUNI,KTNU,TNU,,41 40N,093 01W,287,X,,,,W,8,US
IA,OELWEN,KOLZ,,,42 40N,091 58W,328,X,,,,W,8,US
IA,ORANGE CITY,KORC,,,42 59N,096 04W,430,X,,,,W,8,US
IA,OSCEOLA MUNI,KI75,,,41 03N,093 41W,336,X,,,,,8,US
IA,OSKALOOSA MUNI,KOOA,OOA,,41 14N,092 30W,256,X,,,,W,8,US
IA,OTTUMWA,KOTM,OTM,,41 06N,092 27W,254,X,,T,,A,6,US
IA,PELLA,KPEA,,,41 24N,092 57W,264,X,,,,W,8,US
IA,PERRY MUNI,KPRO,PRO,,41 50N,094 10W,308,X,,,,W,8,US
IA,RED OAK,KRDK,,,41 01N,095 16W,317,X,,,,W,8,US
IA,SHELDON,KSHL,,,43 13N,095 50W,430,X,,,,W,8,US
IA,SHENANDOAH MUNI,KSDA,,,40 45N,095 25W,293,X,,,,W,8,US
IA,SIOUX CITY,KSUX,SUX,72557,42 23N,096 23W,332,X,,T,,A,3,US
IA,SLATER PROFILER,,SLA,74449,41 53N,093 41W,315,,,,W,,8,US
IA,SPENCER,K3SE,,,43 10N,095 09W,408,Z,,,,,8,US
IA,SPENCER,KSPW,SPW,72560,43 10N,095 13W,407,X,,S,,A,6,US
IA,STORM LAKE,KSLB,SLB,,42 36N,095 14W,450,X,,,,W,8,US
IA,VINTON,KVTI,,,42 13N,092 01W,256,X,,,,W,8,US
IA,WASHINGTON,KAWG,,,41 16N,091 40W,229,X,,,,W,8,US
IA,WATERLOO,KALO,ALO,72548,42 33N,092 24W,264,X,,T,,A,4,US
IA,WEBSTER CITY,KEBS,EBS,,42 26N,093 52W,340,X,,,,W,8,US
ID,ADA COUNTY/BOISE,KCBX,CBX,,43 29N,116 14W,933,,X,,,,8,US
ID,BOISE,KBOI,BOI,72681,43 34N,116 14W,860,X,,U,X,A,F 0,US
ID,BONNERS FERRY,K65S,,,48 44N,116 18W,708,X,,,,,8,US
ID,BURLEY,KBYI,BYI,,42 33N,113 46W,1263,X,,T,,A,6,US
ID,CALDWELL (AWOS),KU35,,,43 37N,116 37W,740,Z,,,,,8,US
ID,CALDWELL,KEUL,,,43 38N,116 37W,741,X,,T,,,7,US
ID,CHALLIS,KLLJ,CHL,,44 31N,114 13W,1535,X,,,,A,7,US
ID,CHALLIS,KU15,,,44 31N,114 13W,1546,Z,,,,,8,US
ID,COEUR D'ALENE,KCOE,COE,,47 46N,116 49W,693,X,,T,,W,4,US
ID,DRIGGS REED MEM,KDIJ,,,43 45N,111 06W,1896,X,,T,,,7,US
ID,DUBIOS (VOR),KDBS,,,44 05N,112 13W,1638,,,V,,,8,US
ID,GOODING,KGNG,GNG,,42 55N,114 46W,1128,X,,,,,8,US
ID,GRANGEVILLE,KGIC,IDH,,45 57N,116 07W,1002,X,,,,,7,US
ID,GRANGEVILLE,KS80,,,45 57N,116 07W,1009,Z,,,,,7,US
ID,HAILEY/FRIEDMAN,KSUN,SUN,,43 30N,114 17W,1619,X,,T,,,6,US
ID,IDAHO FALLS,KIDA,IDA,,43 31N,112 04W,1444,X,,T,,A,6,US
ID,JEROME COUNTY,KJER,,,42 43N,114 27W,1226,X,,T,,,7,US
ID,JEROME,KU73,,,42 44N,114 27W,1222,Z,,,,,8,US
ID,LEWISTON,KLWS,LWS,72783,46 22N,117 01W,435,X,,T,,A,6,US
ID,LOWELL/ELK CITY,KP69,,,46 09N,115 36W,447,X,,,,A,7,US
ID,MALAD CITY,KMLD,MLD,,42 10N,112 17W,1373,X,,V,,,6,US
ID,MALTA (AWRS),K77M,,,42 19N,113 19W,1375,X,,,,,7,US
ID,MCCALL,KMYL,MYL,,44 54N,116 06W,1532,X,,T,,A,6,US
ID,MCCALL (VOR),KDNJ,,,44 46N,116 13W,2433,,,V,,,8,US
ID,MOUNTAIN HOME,KMUO,MUO,,43 02N,115 52W,915,X,,T,,,6,US
ID,MULLAN (AWRS),KS06,,,47 28N,115 47W,1011,Z,,,,,8,US
ID,MULLAN PASS,KMLP,,,47 27N,115 40W,1837,X,,V,,A,6,US
ID,NAMPA,KMAN,,,43 35N,116 31W,773,X,,,,,8,US
ID,PARIS,K1U7,,,42 15N,111 20W,1808,X,,,,,3,US
ID,POCATELLO,KPIH,PIH,72578,42 55N,112 34W,1357,X,,U,,A,F 3,US
ID,REXBURG,KRXE,RXE,,43 50N,111 48W,1483,X,,,,A,7,US
ID,REXBURG,KU11,,,43 50N,111 48W,1481,Z,,,,,8,US
ID,SALMON (AWRS),K27U,,,45 10N,113 54W,1210,Z,,,,,8,US
ID,SALMON/LEMHI,KSMN,SMN,,45 07N,113 52W,1228,X,,T,,,6,US
ID,SALMON/VOR,KLKT,,,45 01N,114 05W,2822,,,V,,,8,US
ID,SAYLOR CREEK,KMI1,,,42 30N,115 30W,1000,Z,,,,,8,US
ID,SODA SPRINGS,KU78,,,42 38N,111 34W,1778,X,,,,,7,US
ID,SPENCER,KS14,,,44 21N,112 10W,1800,X,,,,,7,US
ID,SPRINGFIELD/PIH,KSFX,SFX,,43 06N,112 41W,1364,,X,,,,8,US
ID,STANLEY,KSNT,,,44 10N,114 56W,1980,X,,,,A,7,US
ID,TWIN FALLS,KTWF,TWF,,42 29N,114 29W,1269,X,,U,,A,6,US
ID,WALL/SANDPOINT,KSZT,,,48 18N,116 34W,649,X,,,,W,7,US
IL,ALTON/ST LOUIS R,KALN,ALN,,38 53N,090 02W,159,X,,,,,7,US
IL,BLOOMINGTON/NORM,KBMI,BMI,,40 28N,088 55W,262,X,,T,,,7,US
IL,BRADFORD/VOR,KBDF,,,41 09N,089 35W,247,,,V,,,8,US
IL,CAHOKIA/ST LOUIS,KCPS,CPS,,38 32N,090 09W,125,X,,T,,A,7,US
IL,CAIRO,KCIR,CIR,,37 04N,089 13W,96,X,,,,W,8,US
IL,CARBONDALE/MURPH,KMDH,MDH,,37 47N,089 15W,122,X,,,,A,7,US
IL,CARMI MUNI,KCUL,,,38 05N,088 07W,116,X,,,,W,7,US
IL,CENTRALIA,KENL,ENL,,38 31N,089 06W,161,X,,,,W,7,US
IL,CHAMPAIGN/URBANA,KCMI,CMI,,40 02N,088 16W,227,X,,T,,A,6,US
IL,CHICAGO/ARTCC,KZAU,ZAU,,41 47N,088 20W,213,,,A,,,8,US
IL,CHICAGO/AURORA,KARR,AUZ,,41 46N,088 29W,213,X,,,,A,7,US
IL,CHICAGO/DUPAGE,KDPA,DPA,,41 53N,088 15W,228,X,,T,,A,6,US
IL,CHICAGO,KCHI,,,42 00N,087 53W,203,Z,,,,,8,US
IL,CHICAGO,KMDW,MDW,72534,41 47N,087 45W,186,X,,T,,A,1,US
IL,CHICAGO/LANSING,KIGQ,,,41 32N,087 32W,187,X,,,,W,7,US
IL,CHICAGO/MEIGS,KCGX,,,41 52N,087 35W,181,Z,,,,,7,US
IL,CHICAGO O'HARE,KORD,ORD,72530,41 57N,087 56W,202,X,,U,,A,0,US
IL,DANVILLE,KDNV,DNV,,40 12N,087 36W,208,X,,,,W,7,US
IL,DECATUR,KAXC,,,39 50N,088 51W,207,,,U,,,8,US
IL,DECATUR,KDEC,DEC,,39 50N,088 52W,205,X,,U,,A,4,US
IL,DE KALB,KDKB,,,41 56N,088 42W,277,X,,,,W,7,US
IL,DIXON,KC73,,,41 50N,089 27W,240,X,,,,W,7,US
IL,EFFINGHAM,K1H2,,,39 04N,088 32W,174,X,,,,W,7,US
IL,FAIRFIELD,KFWC,,,38 23N,088 25W,131,X,,,,W,7,US
IL,FLORA,KFOA,,,38 40N,088 27W,141,X,,,,W,7,US
IL,FREEPORT,KFEP,FEP,,42 15N,089 35W,255,X,,,,W,7,US
IL,GALESBURG,KGBG,GBG,,40 56N,090 26W,230,X,,,,W,7,US
IL,GLENVIEW NAS,KNBU,,,42 05N,087 49W,199,Z,,,,,8,US
IL,GREENVILLE,KGRE,GRE,,38 50N,089 23W,162,X,,,,W,8,US
IL,HARRISBURG,KHSB,HSB,,37 49N,088 33W,118,X,,,,W,7,US
IL,JACKSONVILLE,KIJX,IJX,,39 46N,090 15W,187,X,,,,W,7,US
IL,JOLIET,KJOT,JOT,,41 31N,088 11W,175,X,,V,,W,6,US
IL,KANKAKEE,KIKK,IKK,,41 04N,087 51W,188,X,,,,W,7,US
IL,LACON,KC75,,,41 01N,089 23W,166,X,,,,W,7,US
IL,LAWRENCEVILLE,KLWV,LWV,,38 46N,087 36W,128,X,,,,A,7,US
IL,LINCOLN,K3LC,,,40 10N,089 20W,182,Z,,,,,8,US
IL,LINCOLN,KAAA,,,40 10N,089 20W,179,X,,,,W,7,US
IL,LINCOLN,KILX,ILX,74560,40 09N,089 20W,177,,X,,X,,F 8,US
IL,LITCHFIELD MUNI,K3LF,,,39 10N,089 40W,207,X,,,,W,8,US
IL,MACOMB MUNI,KMQB,MQB,,40 31N,090 39W,205,X,,,,W,7,US
IL,MARION REGIONAL,KMWA,MWA,,37 46N,089 01W,142,X,,,,,7,US
IL,MARSEILLES,KMMO,,74460,41 22N,088 40W,225,X,,,,M,7,US
IL,MATTOON/CHARLEST,KMTO,MTO,,39 28N,088 16W,216,X,,,,A,7,US
IL,METROPOLIS,KM30,,,37 11N,088 45W,116,X,,,,W,7,US
IL,MOLINE/QUAD CITY,KMLI,MLI,72544,41 27N,090 31W,174,X,,T,,A,6,US
IL,MONEE,KC56,,,41 23N,087 41W,241,X,,,,W,7,US
IL,MORRIS-WASHBURN,KC09,,,41 26N,088 25W,179,X,,,,W,7,US
IL,MOUNT CARMEL,KAJG,,,38 37N,087 44W,130,X,,,,W,7,US
IL,MOUNT STERLING,KI63,,,39 59N,090 48W,221,X,,,,,7,US
IL,MOUNT VERNON,KMVN,MVN,,38 19N,088 52W,145,X,,T,,W,7,US
IL,OLNEY-NOBLE,KOLY,OLY,,38 43N,088 11W,144,X,,,,W,7,US
IL,PALWAUKEE,KPWK,PWK,,42 07N,087 54W,194,X,,,,A,7,US
IL,PARIS,KPRG,,,39 42N,087 40W,197,X,,,,W,7,US
IL,PEORIA,KPIA,PIA,72532,40 40N,089 41W,200,X,,T,,A,4,US
IL,PERU,KVYS,VYS,,41 21N,089 09W,198,X,,,,W,7,US
IL,PITTSFIELD,KPPQ,,,39 38N,090 47W,215,X,,,,W,7,US
IL,PONTIAC,KPNT,,,40 55N,088 37W,199,X,,,,W,7,US
IL,QUINCY MUNI/BALD,KUIN,UIN,,39 57N,091 12W,233,X,,U,,A,6,US
IL,RANTOUL,K2I5,,,40 18N,088 09W,225,Z,,,,,8,US
IL,RANTOUL,KTIP,,,40 17N,088 09W,224,X,,,,W,7,US
IL,ROBINSON MUNI,KRSV,,,39 01N,087 39W,139,X,,,,W,7,US
IL,ROCHELLE/KORITZ,K12C,,,41 53N,089 04W,238,Z,,,,,8,US
IL,ROCHELLE/KORITZ,KRPJ,,,41 53N,089 05W,234,X,,,,W,7,US
IL,ROCKFORD,KRFD,RFD,72543,42 12N,089 06W,222,X,,T,,A,4,US
IL,ROMEOVILLE/CHI,KLOT,LOT,,41 36N,088 06W,205,X,X,,,W,F 5,US
IL,SALEM/LECKRONE,KSLO,SLO,72433,38 39N,088 58W,173,X,,,,W,7,US
IL,SAVANNA/TRITOWN,KSFY,,,42 03N,090 07W,188,X,,,,W,7,US
IL,SCHAUMBURG,K06C,,,41 59N,088 06W,243,X,,,,,8,US
IL,SCOTT AFB/BELLEV,KBLV,BLV,,38 32N,089 50W,134,X,,T,,,1,US
IL,SPARTA,KSAR,SAR,,38 09N,089 42W,162,X,,,,W,7,US
IL,SPRINGFIELD,KSPI,SPI,72439,39 51N,089 41W,179,X,,T,,A,6,US
IL,STERLING ROCKFAL,KSQI,SQI,,41 45N,089 40W,196,X,,,,,7,US
IL,TAYLORVILLE,KTAZ,,,39 32N,089 20W,188,X,,,,W,7,US
IL,VANDALIA,KVLA,VLA,,38 59N,089 10W,162,X,,,,W,7,US
IL,WAUKEGAN,KUGN,UGN,,42 25N,087 52W,217,X,,,,,7,US
IL,WINCHESTER PROFI,,WNC,74556,39 38N,090 28W,170,,,,W,,8,US
IN,ANDERSON MUNICIP,KAID,AID,,40 07N,085 37W,277,X,,,,,7,US
IN,ANGOLA,KANQ,ANQ,,41 38N,085 05W,299,X,,,,,8,US
IN,ATTERBURY,KHBE,,,39 20N,086 02W,215,X,,,,,8,US
IN,AUBURN DEKALB C,KGWB,,,41 18N,085 04W,268,X,,,,,8,US
IN,BATESVILLE,KHLB,HLB,,39 21N,085 16W,297,X,,,,,8,US
IN,BEDFORD,KBFR,,,38 50N,086 27W,223,X,,,,,7,US
IN,BLOOMINGTON,KBMG,BMG,,39 09N,086 37W,254,X,,T,,A,7,US
IN,COLUMBUS,KBAK,CLU,,39 16N,085 54W,199,X,,,,,7,US
IN,CONNERSVILLE,KCEV,CEV,,39 42N,085 08W,263,X,,,,,7,US
IN,CRAWFORDSVILLE,KCFJ,,,39 59N,086 55W,243,X,,,,,7,US
IN,DAVIESS COUNTY,KDCY,,,38 42N,087 08W,143,X,,,,,8,US
IN,ELKHART MUNICIPA,KEKM,EKI,,41 43N,086 00W,236,X,,,,,7,US
IN,EVANSVILLE,KEVV,EVV,72432,38 03N,087 31W,123,X,,T,,A,4,US
IN,EVANSVILLE(88D),KVWX,VWX,,38 16N,087 43W,190,,X,,,,6,US
IN,FORT WAYNE,KFWA,FWA,72533,40 59N,085 12W,243,X,,U,,A,3,US
IN,FORT WAYNE SMITH,KSMD,SMD,,41 09N,085 09W,252,X,,,,,7,US
IN,FRANKFORT,KFKR,,,40 16N,086 34W,260,X,,,,,7,US
IN,FRENCH LICK,KFRH,FRH,,38 30N,086 38W,241,X,,,,,8,US
IN,GARY REGIONAL,KGYY,,,41 37N,087 25W,179,X,,T,,,4,US
IN,GOSHEN,KGSH,GSH,,41 32N,085 47W,252,X,,,,A,7,US
IN,GREENCASTLE,K4I7,,,39 38N,086 49W,257,X,,,,,7,US
IN,GREENCASTLE,KGPC,,,39 38N,086 49W,254,X,,,,,7,US
IN,GREENWOOD,KHFY,,,39 38N,086 05W,250,X,,,,,7,US
IN,GRISSOM AFB/PERU,KGUS,GUS,,40 38N,086 09W,245,X,,T,,,6,US
IN,HIMSEL AAF,K1II,,,39 20N,086 02W,214,X,,,,,7,US
IN,HUNTINGBURG,KHNB,HNB,,38 15N,086 57W,159,X,,T,,,7,US
IN,HUNTINGTON,KHHG,,,40 51N,085 27W,247,X,,,,,7,US
IN,INDIANAPOL/ARTCC,KZID,ZID,,39 44N,086 17W,243,,,A,,,8,US
IN,INDIANAPOLIS/EAG,KI14,,,39 50N,086 18W,251,Z,,,,,8,US
IN,INDIANAPOLIS EXC,KTYQ,,,40 02N,086 15W,279,X,,,,W,8,US
IN,INDIANAPOLIS,KEYE,,,39 50N,086 18W,248,X,,,,A,7,US
IN,INDIANAPOLIS,KIND,IND,72438,39 43N,086 16W,242,X,X,U,,A,F 2,US
IN,INDIANAPOLIS REG,KMQJ,,,39 51N,085 54W,262,X,,,,W,8,US
IN,INDIANAPOLIS MET,KUMP,,,39 56N,086 03W,247,X,,,,,7,US
IN,JEFFERSON PRVG,,,74468,38 50N,085 25W,266,Z,,,,,8,US
IN,JEFFERSONVILLE,KJVY,,,38 22N,085 44W,141,X,,,,,8,US
IN,KENDALLVILLE,KC62,,,41 28N,085 15W,304,X,,,,,7,US
IN,KNOX STARKE CTY,KOXI,,,41 20N,086 40W,208,X,,,,,8,US
IN,KOKOMO,KOKK,OKK,,40 32N,086 04W,251,X,,,,W,8,US
IN,LAFAYETTE,KLAF,LAF,,40 25N,086 56W,182,X,,T,,A,4,US
IN,LAFAYETTE VOR,KBVT,,,40 34N,087 04W,182,,,V,,,8,US
IN,LA PORTE,KPPO,LPO,,41 34N,086 44W,242,X,,,,,8,US
IN,LOGANSPORT,KGGP,,,40 43N,086 22W,224,X,,,,W,8,US
IN,MADISON,KIMS,MDN,,38 45N,085 28W,244,X,,,,,8,US
IN,MARION MUNI,KMZZ,MZZ,,40 29N,085 41W,260,X,,,,,8,US
IN,MICHIGAN CITY,KMGC,MGC,,41 42N,086 49W,199,X,,,,W,8,US
IN,MONTICELLO/WHITE,KMCX,,,40 43N,086 46W,205,X,,,,,7,US
IN,MUNCIE,KMIE,MIE,,40 14N,085 24W,286,X,,,,A,7,US
IN,NORTH WEBSTER,KIWX,IWX,,41 22N,085 42W,293,,X,,,,8,US
IN,PLYMOUTH,KC65,,,41 22N,086 18W,241,X,,,,,8,US
IN,POCKET CITY VOR,KPXV,,,37 56N,087 46W,117,,,V,,,8,US
IN,PORTLAND,KPLD,,,40 27N,084 59W,282,X,,,,,8,US
IN,RENSSELAER,KRZL,RNZ,,40 57N,087 11W,210,X,,,,W,8,US
IN,RICHMOND,KRID,RID,,39 45N,084 51W,346,X,,,,,8,US
IN,ROCHESTER,KRCR,RCR,,41 04N,086 11W,240,X,,,,W,8,US
IN,SHELBYVILLE,K3SM,,,39 35N,085 48W,245,Z,,,,,8,US
IN,SHELBYVILLE,KGEZ,,,39 35N,085 48W,245,X,,,,A,7,US
IN,SOUTH BEND,KSBN,SBN,72535,41 42N,086 19W,236,X,,T,,A,4,US
IN,TERRE HAUTE,KHUF,HUF,,39 27N,087 19W,174,X,,T,,A,6,US
IN,TERRE HAUTE VOR,KTTH,,,39 29N,087 15W,179,,,V,,,8,US
IN,VALPARAISO,KVPZ,VPZ,,41 27N,087 00W,235,X,,,,A,7,US
IN,WARSAW MUNI,KASW,ASW,,41 16N,085 50W,253,X,,,W,,8,US
IN,WOLCOTT PROFILER,,WLC,74466,40 49N,087 03W,212,,,,W,,8,US
KS,ABILENE,KK78,,,38 54N,097 14W,352,X,,,,W,9,US
KS,ALMA/TOPEKA,KTWX,TWX,,39 00N,096 14W,417,,X,,,,8,US
KS,ATWOOD,KADT,,,39 50N,101 03W,899,X,,,,,7,US
KS,AUGUSTA,K3AU,,,37 40N,097 05W,403,X,,,,,8,US
KS,BASSETT,KK88,,,37 52N,095 23W,308,X,,,,,8,US
KS,BENTON,K1K1,,,37 46N,097 07W,411,X,,,,,8,US
KS,BURLINGTON,KUKL,,,38 18N,095 44W,357,X,,,,W,8,US
KS,CHANUTE,KCNU,CNU,,37 40N,095 29W,301,X,,T,,A,6,US
KS,COFFEYVILLE,KCFV,CFV,,37 05N,095 34W,228,X,,,,A,7,US
KS,COLBY,KCBK,CBK,,39 26N,101 03W,970,X,,,,W,9,US
KS,COLDWATER,K3K8,,,37 13N,099 20W,640,X,,,,,8,US
KS,CONCORDIA,KCNK,CNK,72458,39 33N,097 39W,445,X,,,,A,7,US
KS,DODGE CITY,KDDC,DDC,72451,37 46N,099 58W,786,X,X,T,X,A,F 0,US
KS,ELDORADO,KEQA,EDK,,37 47N,096 49W,422,X,,,,,7,US
KS,ELKHART,K1K5,,,37 00N,101 53W,1102,Z,,,,,8,US
KS,ELKHART,KEHA,,,37 00N,101 52W,1103,X,,S,,W,6,US
KS,ELLSWORTH,K9K7,,,38 45N,098 14W,492,X,,,,W,9,US
KS,EMPORIA,KEMP,EMP,,38 20N,096 12W,366,X,,,,A,7,US
KS,EUREKA,K13K,,,37 51N,096 18W,367,X,,,,W,9,US
KS,FORT LEAVENWORTH,KFLV,FLV,,39 22N,094 55W,235,X,,,,,7,US
KS,FORT SCOTT,KFSK,FSK,,37 48N,094 46W,276,X,,,,W,9,US
KS,FT RILEY/MARSHAL,KFRI,FRI,72455,39 03N,096 46W,232,X,,T,,,6,US
KS,GARDEN CITY,KGCK,GCK,,37 55N,100 43W,877,X,,U,,A,4,US
KS,GARNETT,KK68,,,38 17N,095 13W,301,X,,,,W,7,US
KS,GOODLAND,KGLD,GLD,72465,39 22N,101 42W,1111,X,X,U,,A,F 3,US
KS,GREAT BEND,KGBD,GBD,,38 21N,098 52W,573,X,,T,,W,7,US
KS,GRINNELL,KGNL,,,39 08N,100 37W,887,X,,,,W,9,US
KS,HARPER,K8K2,,,37 17N,098 03W,445,X,,,,W,7,US
KS,HAVILAND PROFILE,KHVL,HVL,74541,37 39N,099 06W,648,,,,W,,8,US
KS,HAYS MUNI,KHYS,HYS,,38 51N,099 16W,607,X,,T,,,4,US
KS,HERNDON,KHD7,,,39 55N,100 50W,814,X,,,,W,9,US
KS,HILL CITY,KHLC,HLC,,39 22N,099 50W,667,X,,V,,A,6,US
KS,HILLSBORO,,,74547,38 37N,097 18W,477,,,,W,,8,US
KS,HILLSBORO PROFIL,,HBR,74546,38 17N,097 17W,477,,,,W,,8,US
KS,HOXIE,KHOX,,,39 22N,100 26W,833,X,,,,W,9,US
KS,HUGOTON,KHQG,,,37 10N,101 22W,956,X,,,,,8,US
KS,HUGOTON,KHQG,,,37 10N,101 22W,956,X,,,,W,9,US
KS,HUTCHINSON,KHUT,HUT,,38 04N,097 52W,464,X,,T,,A,6,US
KS,INDEPENDENCE,KIDP,IDP,,37 10N,095 47W,252,X,,,,W,8,US
KS,JENNINGS,KJN8,,,39 41N,100 18W,762,X,,,,W,8,US
KS,JOHNSON CITY,KJHN,,,37 35N,101 44W,1013,X,,,,,8,US
KS,JOHNSON,K2K3,,,37 35N,101 44W,1013,X,,,,W,9,US
KS,KINGMAN,K9K8,,,37 40N,098 07W,490,X,,,,W,9,US
KS,LAKIN,K36K,,,37 58N,101 15W,938,X,,,,,7,US
KS,LAWRENCE,KLWC,LWC,,39 01N,095 13W,252,X,,,,A,7,US
KS,LEOTI/HOARD MEML,K3K7,,,38 27N,101 21W,1007,X,,,,W,7,US
KS,LIBERAL,KLBL,LBL,,37 02N,100 58W,877,X,,V,,W,4,US
KS,LOGAN,KLG5,,,39 40N,099 34W,597,X,,,,W,9,US
KS,LYONS,KLYO,LYO,,38 21N,098 14W,515,X,,,,,7,US
KS,MANHATTAN,KMHK,MHK,,39 08N,096 41W,320,X,,T,,A,4,US
KS,MARYSVILLE,KMYZ,,,39 51N,096 38W,388,X,,,,A,7,US
KS,MCCONNELL AFB,KIAB,IAB,,37 37N,097 16W,413,X,,T,,,6,US
KS,MCPHERSON,KMPR,MPR,,38 21N,097 41W,455,X,,,,W,9,US
KS,MEDICINE LODGE,KP28,,,37 17N,098 33W,469,X,,,,A,7,US
KS,NEODESHA PROFILE,,NDS,74542,37 22N,095 37W,255,,,,W,,8,US
KS,NEW ALMELO,KAL8,,,39 36N,100 07W,734,X,,,,W,8,US
KS,NEWTON,KEWK,EWK,,38 03N,097 16W,468,X,,,,W,7,US
KS,NORTON,KNRN,,,39 51N,099 54W,726,X,,,,W,9,US
KS,OAKLEY,KOEL,,,39 07N,100 49W,924,X,,,,,8,US
KS,OBERLIN,KOIN,,,39 50N,100 32W,810,X,,,,W,9,US
